rank_by_eer,combo,best_epoch,gsc_auc_mean,eer_mean,frr1_mean,frr5_far,recall_at_1far,recall_at_5far,acc1_far,acc5_far
1,DSCNN-L + PCEN + GE2E,5,0.8588999999999999,0.22596666666666665,0.7200000000000001,0.4897,0.2799999999999999,0.5103,0.7667,0.7998
2,DSCNN-L + MFCC + GE2E,5,0.7858666666666667,0.28373333333333334,0.8484666666666666,0.6624,0.1515333333333334,0.3376,0.723,0.7378
3,EdgeSpotFull T4 + PCEN + GE2E,4,0.7668333333333334,0.31303333333333333,0.8442,0.7103,0.15580000000000005,0.28969999999999996,0.7294,0.7335
4,DSCNN-L + PCEN + Triplet,5,0.7371333333333333,0.3337666666666667,0.8715,0.7455,0.12849999999999995,0.25449999999999995,0.7224,0.7267
5,EdgeSpotFull T4 + PCEN + Triplet,5,0.6018,0.4341333333333333,0.9248333333333334,0.8727,0.0751666666666666,0.12729999999999997,0.7076,0.6881
6,DSCNN-L + MFCC + Triplet,5,0.5793,0.4457,0.9739333333333334,0.9152,0.02606666666666657,0.08479999999999999,0.693,0.6731
7,EdgeSpotFull T4 + MFCC + SCAF,5,0.5397666666666666,0.47069999999999995,0.9690666666666666,0.9048,0.030933333333333368,0.09519999999999995,0.695,0.6765
8,EdgeSpotFull T4 + PCEN + SCAF,1,0.5358666666666666,0.47573333333333334,0.9739666666666666,0.92,0.026033333333333353,0.07999999999999996,0.6952,0.6735
9,EdgeSpotFull T4 + MFCC + GE2E,5,0.5266333333333334,0.4849333333333334,0.9781666666666666,0.9152,0.02183333333333337,0.08479999999999999,0.6931,0.6735
10,DSCNN-L + MFCC + SCAF+GE2E,2,0.5204333333333334,0.48710000000000003,0.9727333333333333,0.9218,0.02726666666666666,0.07820000000000005,0.6924,0.6683
11,DSCNN-L + MFCC + SCAF,1,0.5202666666666667,0.4885333333333333,0.9406,0.9036,0.05940000000000001,0.09640000000000004,0.7072,0.6826
12,DSCNN-L + PCEN + SCAF,1,0.5232,0.49146666666666666,0.9527333333333333,0.9115,0.04726666666666668,0.08850000000000002,0.7002,0.6767
13,EdgeSpotFull T4 + PCEN + SCAF+GE2E,3,0.5094666666666666,0.49689999999999995,0.9757666666666666,0.9188,0.02423333333333344,0.08120000000000005,0.6924,0.67
14,EdgeSpotFull T4 + MFCC + SCAF+GE2E,5,0.5052333333333333,0.4998666666666667,0.9812,0.9485,0.01880000000000004,0.05149999999999999,0.6915,0.6694
15,DSCNN-L + PCEN + SCAF+GE2E,1,0.5004666666666666,0.5010666666666667,0.9515333333333333,0.903,0.04846666666666666,0.09699999999999998,0.7011,0.6785
16,EdgeSpotFull T4 + MFCC + Triplet,5,0.4886333333333333,0.5078333333333332,0.9927333333333332,0.9564,0.0072666666666667545,0.04359999999999997,0.69,0.6635
