run_tag,combo,model,frontend,loss,status,param_count,best_epoch,acc1_far,acc5_far,frr5_far,val_auc,val_acc,gsc_auc_mean,gsc_auc_std,eer_mean,eer_std,frr1_mean,open_set_acc_mean,keyword_acc_mean,f1_mean,started_at,finished_at,loss_order,model_order,frontend_order
dscnn_mfcc_triplet_full_mswc_12_combo_phase1_e5_ep150_manifest20_e5_ep150,DSCNN-L + MFCC + Triplet,DSCNN-L,MFCC,Triplet,ok,412896,5,0.693,0.6731,0.9152,0.9074,0.4017,0.5793,0.017170905625505026,0.4457,0.011752871989433035,0.9739333333333334,0.6929666666666666,0.37999999999999995,0.4318,2026-05-30 03:05:26,2026-05-30 04:06:27,0,0,0
dscnn_mfcc_scaf_full_mswc_12_combo_phase1_e5_ep150_manifest20_e5_ep150,DSCNN-L + MFCC + SCAF,DSCNN-L,MFCC,SCAF,ok,412896,1,0.7072,0.6826,0.9036,0.6455,0.09,0.5202666666666667,0.005686240703077332,0.4885333333333333,0.00491155101096723,0.9406,0.7072333333333334,0.1897,0.3900333333333334,2026-05-30 04:06:27,2026-05-30 05:30:45,1,0,0
dscnn_mfcc_ge2e_full_mswc_12_combo_phase1_e5_ep150_manifest20_e5_ep150,DSCNN-L + MFCC + GE2E,DSCNN-L,MFCC,GE2E,ok,412896,5,0.723,0.7378,0.6624,0.9429,0.6017,0.7858666666666667,0.02503843711842521,0.28373333333333334,0.019977320474311208,0.8484666666666666,0.7229666666666666,0.6345333333333333,0.6069,2026-05-30 05:30:45,2026-05-30 06:46:32,2,0,0
dscnn_mfcc_scaf_ge2e_full_mswc_12_combo_phase1_e5_ep150_manifest20_e5_ep150,DSCNN-L + MFCC + SCAF+GE2E,DSCNN-L,MFCC,SCAF+GE2E,ok,412896,2,0.6924,0.6683,0.9218,0.64,0.0967,0.5204333333333334,0.013978674233750972,0.48710000000000003,0.017280914327662208,0.9727333333333333,0.6923666666666667,0.20603333333333332,0.3915666666666667,2026-05-30 06:46:32,2026-05-30 08:08:49,3,0,0
dscnn_pcen_triplet_full_mswc_12_combo_phase1_e5_ep150_manifest20_e5_ep150,DSCNN-L + PCEN + Triplet,DSCNN-L,PCEN,Triplet,ok,412900,5,0.7224,0.7267,0.7455,0.9515,0.6083,0.7371333333333333,0.027907406424340725,0.3337666666666667,0.026293028226762574,0.8715,0.7224,0.6890999999999999,0.5497666666666666,2026-05-30 08:08:49,2026-05-30 09:28:47,0,0,1
dscnn_pcen_scaf_full_mswc_12_combo_phase1_e5_ep150_manifest20_e5_ep150,DSCNN-L + PCEN + SCAF,DSCNN-L,PCEN,SCAF,ok,412900,1,0.7002,0.6767,0.9115,0.6047,0.0917,0.5232,0.010842970072816769,0.49146666666666666,0.004517004907384238,0.9527333333333333,0.7002,0.21693333333333334,0.3873666666666667,2026-05-30 09:28:47,2026-05-30 10:40:06,1,0,1
dscnn_pcen_ge2e_full_mswc_12_combo_phase1_e5_ep150_manifest20_e5_ep150,DSCNN-L + PCEN + GE2E,DSCNN-L,PCEN,GE2E,ok,412900,5,0.7667,0.7998,0.4897,0.9539,0.6733,0.8588999999999999,0.0032511536414017465,0.22596666666666665,0.00982869947314157,0.7200000000000001,0.7666666666666666,0.7921333333333332,0.6767666666666666,2026-05-30 11:36:51,2026-05-30 12:09:50,2,0,1
dscnn_pcen_scaf_ge2e_full_mswc_12_combo_phase1_e5_ep150_manifest20_e5_ep150,DSCNN-L + PCEN + SCAF+GE2E,DSCNN-L,PCEN,SCAF+GE2E,ok,412900,1,0.7011,0.6785,0.903,0.6303,0.0783,0.5004666666666666,0.01625740856758334,0.5010666666666667,0.006871923554095547,0.9515333333333333,0.7011,0.20000000000000004,0.3786333333333333,2026-05-30 12:09:50,2026-05-30 13:32:17,3,0,1
edgespot_full_t4_mfcc_triplet_full_mswc_edgespot_mfcc_4_combo_phase1_e5_ep150_manifest20_e5_ep150,EdgeSpotFull T4 + MFCC + Triplet,EdgeSpotFull T4,MFCC,Triplet,ok,130594,5,0.69,0.6635,0.9564,0.6461,0.07,0.4886333333333333,0.006127261487265997,0.5078333333333332,0.014086991635311404,0.9927333333333332,0.69,0.10726666666666666,0.3720333333333334,2026-05-30 17:17:59,2026-05-30 17:49:19,0,1,0
edgespot_full_t4_mfcc_scaf_full_mswc_edgespot_mfcc_4_combo_phase1_e5_ep150_manifest20_e5_ep150,EdgeSpotFull T4 + MFCC + SCAF,EdgeSpotFull T4,MFCC,SCAF,ok,130594,5,0.695,0.6765,0.9048,0.5249,0.0417,0.5397666666666666,0.0023797758998135546,0.47069999999999995,0.006199193495931549,0.9690666666666666,0.695,0.16,0.4070666666666667,2026-05-30 17:49:19,2026-05-30 18:21:20,1,1,0
edgespot_full_t4_mfcc_ge2e_full_mswc_edgespot_mfcc_4_combo_phase1_e5_ep150_manifest20_e5_ep150,EdgeSpotFull T4 + MFCC + GE2E,EdgeSpotFull T4,MFCC,GE2E,ok,130594,5,0.6931,0.6735,0.9152,0.8724,0.2667,0.5266333333333334,0.025315081144119067,0.4849333333333334,0.021940221815955615,0.9781666666666666,0.6931666666666666,0.26243333333333335,0.39376666666666665,2026-05-30 18:21:20,2026-05-30 18:51:04,2,1,0
edgespot_full_t4_mfcc_scaf_ge2e_full_mswc_edgespot_mfcc_4_combo_phase1_e5_ep150_manifest20_e5_ep150,EdgeSpotFull T4 + MFCC + SCAF+GE2E,EdgeSpotFull T4,MFCC,SCAF+GE2E,ok,130594,5,0.6915,0.6694,0.9485,0.5806,0.0667,0.5052333333333333,0.012888884099615985,0.4998666666666667,0.009625140691612447,0.9812,0.6914666666666668,0.15396666666666667,0.3796333333333333,2026-05-30 18:51:04,2026-05-30 19:23:04,3,1,0
edgespot_full_t4_pcen_triplet_full_mswc_12_combo_phase1_e5_ep150_manifest20_e5_ep150,EdgeSpotFull T4 + PCEN + Triplet,EdgeSpotFull T4,PCEN,Triplet,ok,130598,5,0.7076,0.6881,0.8727,0.9234,0.4433,0.6018,0.010742904635153351,0.4341333333333333,0.007669637105713228,0.9248333333333334,0.7075999999999999,0.48786666666666667,0.44356666666666666,2026-05-30 13:32:17,2026-05-30 14:33:41,0,1,1
edgespot_full_t4_pcen_scaf_full_mswc_12_combo_phase1_e5_ep150_manifest20_e5_ep150,EdgeSpotFull T4 + PCEN + SCAF,EdgeSpotFull T4,PCEN,SCAF,ok,130598,1,0.6952,0.6735,0.92,0.63,0.0817,0.5358666666666666,0.008409716602438718,0.47573333333333334,0.004816983841921553,0.9739666666666666,0.6951666666666667,0.22063333333333335,0.40263333333333334,2026-05-30 14:33:41,2026-05-30 15:43:53,1,1,1
edgespot_full_t4_pcen_ge2e_full_mswc_12_combo_phase1_e5_ep150_manifest20_e5_ep150,EdgeSpotFull T4 + PCEN + GE2E,EdgeSpotFull T4,PCEN,GE2E,ok,130598,4,0.7294,0.7335,0.7103,0.9437,0.59,0.7668333333333334,0.010038094108611156,0.31303333333333333,0.009151138362702925,0.8442,0.7294333333333333,0.6981666666666667,0.5729000000000001,2026-05-30 15:43:53,2026-05-30 16:32:44,2,1,1
edgespot_full_t4_pcen_scaf_ge2e_full_mswc_12_combo_phase1_e5_ep150_manifest20_e5_ep150,EdgeSpotFull T4 + PCEN + SCAF+GE2E,EdgeSpotFull T4,PCEN,SCAF+GE2E,ok,130598,3,0.6924,0.67,0.9188,0.5379,0.0383,0.5094666666666666,0.003601851375797352,0.49689999999999995,0.006179805822192139,0.9757666666666666,0.6924333333333333,0.21453333333333333,0.38223333333333337,2026-05-30 16:32:44,2026-05-30 17:17:59,3,1,1
