effect,scope,baseline,candidate,baseline_acc1_far,candidate_acc1_far,delta_acc1_pp,baseline_acc5_far,candidate_acc5_far,delta_acc5_pp,baseline_frr5_far,candidate_frr5_far,delta_frr5_pp,baseline_f1,candidate_f1,delta_f1_pp,note
PCEN vs MFCC,DSCNN-L + Triplet,DSCNN-L + MFCC + Triplet,DSCNN-L + PCEN + Triplet,0.693,0.7224,2.9400000000000093,0.6731,0.7267,5.359999999999998,0.9152,0.7455,-16.969999999999995,0.4318,0.5497666666666666,11.796666666666662,Tác động của frontend khi giữ nguyên model và loss.
PCEN vs MFCC,DSCNN-L + SCAF,DSCNN-L + MFCC + SCAF,DSCNN-L + PCEN + SCAF,0.7072,0.7002,-0.7000000000000006,0.6826,0.6767,-0.5900000000000016,0.9036,0.9115,0.7900000000000018,0.3900333333333334,0.3873666666666667,-0.2666666666666706,Tác động của frontend khi giữ nguyên model và loss.
PCEN vs MFCC,DSCNN-L + GE2E,DSCNN-L + MFCC + GE2E,DSCNN-L + PCEN + GE2E,0.723,0.7667,4.370000000000007,0.7378,0.7998,6.199999999999994,0.6624,0.4897,-17.269999999999996,0.6069,0.6767666666666666,6.986666666666663,Tác động của frontend khi giữ nguyên model và loss.
PCEN vs MFCC,DSCNN-L + SCAF+GE2E,DSCNN-L + MFCC + SCAF+GE2E,DSCNN-L + PCEN + SCAF+GE2E,0.6924,0.7011,0.869999999999993,0.6683,0.6785,1.0199999999999987,0.9218,0.903,-1.8799999999999928,0.3915666666666667,0.3786333333333333,-1.2933333333333352,Tác động của frontend khi giữ nguyên model và loss.
PCEN vs MFCC,EdgeSpotFull T4 + Triplet,EdgeSpotFull T4 + MFCC + Triplet,EdgeSpotFull T4 + PCEN + Triplet,0.69,0.7076,1.760000000000006,0.6635,0.6881,2.4600000000000066,0.9564,0.8727,-8.37,0.3720333333333334,0.44356666666666666,7.153333333333328,Tác động của frontend khi giữ nguyên model và loss.
PCEN vs MFCC,EdgeSpotFull T4 + SCAF,EdgeSpotFull T4 + MFCC + SCAF,EdgeSpotFull T4 + PCEN + SCAF,0.695,0.6952,0.0200000000000089,0.6765,0.6735,-0.30000000000000027,0.9048,0.92,1.5199999999999991,0.4070666666666667,0.40263333333333334,-0.44333333333333447,Tác động của frontend khi giữ nguyên model và loss.
PCEN vs MFCC,EdgeSpotFull T4 + GE2E,EdgeSpotFull T4 + MFCC + GE2E,EdgeSpotFull T4 + PCEN + GE2E,0.6931,0.7294,3.63,0.6735,0.7335,6.000000000000005,0.9152,0.7103,-20.49,0.39376666666666665,0.5729000000000001,17.91333333333334,Tác động của frontend khi giữ nguyên model và loss.
PCEN vs MFCC,EdgeSpotFull T4 + SCAF+GE2E,EdgeSpotFull T4 + MFCC + SCAF+GE2E,EdgeSpotFull T4 + PCEN + SCAF+GE2E,0.6915,0.6924,0.09000000000000119,0.6694,0.67,0.060000000000004494,0.9485,0.9188,-2.970000000000006,0.3796333333333333,0.38223333333333337,0.26000000000000467,Tác động của frontend khi giữ nguyên model và loss.
GE2E vs Triplet,DSCNN-L + MFCC,DSCNN-L + MFCC + Triplet,DSCNN-L + MFCC + GE2E,0.693,0.723,3.0000000000000027,0.6731,0.7378,6.469999999999998,0.9152,0.6624,-25.28,0.4318,0.6069,17.509999999999998,Tác động của loss centroid/prototype so với loss pairwise.
SCAF+GE2E vs SCAF,DSCNN-L + MFCC,DSCNN-L + MFCC + SCAF,DSCNN-L + MFCC + SCAF+GE2E,0.7072,0.6924,-1.4800000000000035,0.6826,0.6683,-1.429999999999998,0.9036,0.9218,1.8199999999999994,0.3900333333333334,0.3915666666666667,0.15333333333332755,Tác động khi thêm GE2E vào SCAF với trọng số hiện tại.
SCAF+GE2E vs GE2E,DSCNN-L + MFCC,DSCNN-L + MFCC + GE2E,DSCNN-L + MFCC + SCAF+GE2E,0.723,0.6924,-3.059999999999996,0.7378,0.6683,-6.950000000000001,0.6624,0.9218,25.939999999999998,0.6069,0.3915666666666667,-21.53333333333333,Kiểm tra liệu hybrid hiện tại có tốt hơn GE2E đơn lẻ hay không.
GE2E vs Triplet,DSCNN-L + PCEN,DSCNN-L + PCEN + Triplet,DSCNN-L + PCEN + GE2E,0.7224,0.7667,4.430000000000001,0.7267,0.7998,7.309999999999994,0.7455,0.4897,-25.580000000000002,0.5497666666666666,0.6767666666666666,12.7,Tác động của loss centroid/prototype so với loss pairwise.
SCAF+GE2E vs SCAF,DSCNN-L + PCEN,DSCNN-L + PCEN + SCAF,DSCNN-L + PCEN + SCAF+GE2E,0.7002,0.7011,0.08999999999999009,0.6767,0.6785,0.18000000000000238,0.9115,0.903,-0.8499999999999952,0.3873666666666667,0.3786333333333333,-0.8733333333333371,Tác động khi thêm GE2E vào SCAF với trọng số hiện tại.
