run_tag	model_family	frontend	loss	edge_tau	train_files	val_files	epochs	episodes	max_per_word	n_classes	n_samples	gsc_every	gsc_runs	train_status	dev30_far1_status	test100_far1_status	test100_far5_status	started_at	finished_at
dscnn_mfcc_triplet_full_mswc_16_pipeline_manifest20_e40_ep150_fixed	dscnn	mfcc	triplet		train_files.json	val_files.json	40	150	20	30	10	5	3	failed_rc_1	not_started	not_started	not_started	2026-06-11 10:20:55	2026-06-11 12:49:57
dscnn_mfcc_scaf_full_mswc_16_pipeline_manifest20_e40_ep150_fixed	dscnn	mfcc	scaf		train_files.json	val_files.json	40	150	20	30	10	5	3	failed_rc_1	not_started	not_started	not_started	2026-06-11 12:49:57	2026-06-11 12:52:10
dscnn_mfcc_ge2e_full_mswc_16_pipeline_manifest20_e40_ep150_fixed	dscnn	mfcc	ge2e		train_files.json	val_files.json	40	150	20	30	10	5	3	failed_rc_1	not_started	not_started	not_started	2026-06-11 12:52:10	2026-06-11 12:53:36
dscnn_mfcc_scaf_ge2e_full_mswc_16_pipeline_manifest20_e40_ep150_fixed	dscnn	mfcc	scaf_ge2e		train_files.json	val_files.json	40	150	20	30	10	5	3	failed_rc_1	not_started	not_started	not_started	2026-06-11 12:53:36	2026-06-11 12:59:53
dscnn_pcen_triplet_full_mswc_16_pipeline_manifest20_e40_ep150_fixed	dscnn	mel_pcen	triplet		train_files.json	val_files.json	40	150	20	30	10	5	3	failed_rc_1	not_started	not_started	not_started	2026-06-11 12:59:53	2026-06-11 13:04:29
dscnn_pcen_scaf_full_mswc_16_pipeline_manifest20_e40_ep150_fixed	dscnn	mel_pcen	scaf		train_files.json	val_files.json	40	150	20	30	10	5	3	ok	ok	ok	ok	2026-06-11 13:04:29	2026-06-11 18:34:13
dscnn_pcen_ge2e_full_mswc_16_pipeline_manifest20_e40_ep150_fixed	dscnn	mel_pcen	ge2e		train_files.json	val_files.json	40	150	20	30	10	5	3	failed_rc_1	not_started	not_started	not_started	2026-06-11 18:34:13	2026-06-12 09:56:32
dscnn_pcen_scaf_ge2e_full_mswc_16_pipeline_manifest20_e40_ep150_fixed	dscnn	mel_pcen	scaf_ge2e		train_files.json	val_files.json	40	150	20	30	10	5	3	failed_rc_1	not_started	not_started	not_started	2026-06-12 09:56:32	2026-06-12 10:02:18
edgespot_full_t4_mfcc_triplet_full_mswc_16_pipeline_manifest20_e40_ep150_fixed	edgespot_full	mfcc	triplet	4	train_files.json	val_files.json	40	150	20	30	10	5	3	failed_rc_1	not_started	not_started	not_started	2026-06-12 10:02:18	2026-06-12 10:03:53
edgespot_full_t4_mfcc_scaf_full_mswc_16_pipeline_manifest20_e40_ep150_fixed	edgespot_full	mfcc	scaf	4	train_files.json	val_files.json	40	150	20	30	10	5	3	failed_rc_1	not_started	not_started	not_started	2026-06-12 10:03:53	2026-06-12 10:05:28
edgespot_full_t4_mfcc_ge2e_full_mswc_16_pipeline_manifest20_e40_ep150_fixed	edgespot_full	mfcc	ge2e	4	train_files.json	val_files.json	40	150	20	30	10	5	3	failed_rc_1	not_started	not_started	not_started	2026-06-12 10:05:28	2026-06-12 10:07:04
edgespot_full_t4_mfcc_scaf_ge2e_full_mswc_16_pipeline_manifest20_e40_ep150_fixed	edgespot_full	mfcc	scaf_ge2e	4	train_files.json	val_files.json	40	150	20	30	10	5	3	failed_rc_1	not_started	not_started	not_started	2026-06-12 10:07:04	2026-06-12 10:10:55
edgespot_full_t4_pcen_triplet_full_mswc_16_pipeline_manifest20_e40_ep150_fixed	edgespot_full	mel_pcen	triplet	4	train_files.json	val_files.json	40	150	20	30	10	5	3	failed_rc_1	not_started	not_started	not_started	2026-06-12 10:10:55	2026-06-12 10:12:29
edgespot_full_t4_pcen_scaf_full_mswc_16_pipeline_manifest20_e40_ep150_fixed	edgespot_full	mel_pcen	scaf	4	train_files.json	val_files.json	40	150	20	30	10	5	3	failed_rc_1	not_started	not_started	not_started	2026-06-12 10:12:29	2026-06-12 10:14:04
edgespot_full_t4_pcen_ge2e_full_mswc_16_pipeline_manifest20_e40_ep150_fixed	edgespot_full	mel_pcen	ge2e	4	train_files.json	val_files.json	40	150	20	30	10	5	3	failed_rc_1	not_started	not_started	not_started	2026-06-12 10:14:04	2026-06-12 10:15:36
edgespot_full_t4_pcen_scaf_ge2e_full_mswc_16_pipeline_manifest20_e40_ep150_fixed	edgespot_full	mel_pcen	scaf_ge2e	4	train_files.json	val_files.json	40	150	20	30	10	5	3	failed_rc_1	not_started	not_started	not_started	2026-06-12 10:15:36	2026-06-12 10:17:13
